website,category,phone,company_name,address,email
http://www.yorkpharmacyjm.com,Pharmacies,876-926-7414,York Pharmacy,"91 Half Way Tree Rd, Kingston 10, Jamaica",serronpharmaceutical@yahoo.com
,Pharmacies,876-969-0830,MegaMart Pharmacy,29 Upr Waterloo Rd Kingston 10 Jamaica,arainford@megamartjm.com
http://www.supermedpharmacy.com,Pharmacies,876-960-2145,Supermed Pharmacy,Mall Plaza Kingston 10 Jamaica,hughendenpharmacy@yahoo.com
,Pharmacies,876-920-2701,Knutsford Pharmacy - The New,Shop 2 28 Barbados Ave Kingston 5 Jamaica,newknuts@yahoo.com
http://www.supermedpharmacy.com,Pharmacies,876-920-2701,Supermed Pharmacy,Shop 2 28 Barbados Av Kingston 5 Jamaica,hughendenpharmacy@yahoo.com
,Pharmacies,876-908-3739,Nandcare Pharmacy,"33 1/2 Eastwood Park Rd, Kingston 10, Jamaica",nandcarepharmacy@yahoo.com
,Pharmacies,876-906-9723,Winchester Global Pharmacy,3A Winchester Rd Kingston 10 Jamaica,winchesterglobalpharmacy@yahoo.com
http://www.newpavilionrx.com,Pharmacies,876-960-0954,New Pavilion Pharmacy,"Shop # 11 Pavilion Mall 13 Constant Spring Road Kgn 10, St. Andrew Jamaica",pharmacyfren@yahoo.com
http://www.fontanapharmacy.com,Pharmacies,876-946-2630,Fontana Pharmacy,34 East Kings House Rd Kingston 6 Jamaica,contact@fontanapharmacy.com
http://http://www.newkingstonrx.com/,Pharmacies,876-908-3628,New Kingston Pharmacy,Shop 1 30 Dominica Dr Kingston 5 Jamaica,ljekarnank@gmail.com
,Pharmacies,876-929-0195,Chesterville Pharmacy And Beauty Supplies Ltd,15 Hope Rd Kingston 10 Jamaica,pharmacist@thebeautyconcept.com.jm
http://www.supermedpharmacy.com,Pharmacies,876-934-3240,Hughenden Pharmacy,111A Molynes Rd Kingston 20 Jamaica,hughendenpharmacy@yahoo.com
http://www.supermedpharmacy.com,Pharmacies,876-934-3240,Supermed Pharmacy,111A Molynes Rd Kingston 20 Jamaica,hughendenpharmacy@yahoo.com
http://www.islandpharmacyja.com,Pharmacies,876-960-0270,Island Pharmacy Ltd,7a Barbados Ave Kingston 5 Jamaica,islandrx@cwjamaica.com
,Pharmacies,876-960-4095,Krysdave Pharmacy,Shop 5 95 Maxfield Ave Kingston 13 Jamaica,krysdavelimited@gmail.com
,Pharmacies,876-754-7776,Willo Kare Pharmacy,Shop 1 Park Plaza Kingston 10 Jamaica,willokarerx@yahoo.com
,Pharmacies,876-933-2843,K's Pharmacy Ltd,Shop 17 Duhaney Pk Plaza Kingston 20 Jamaica,
,Pharmacies,876-978-2013,Monarch Pharmacy,"29 East Kings House Rd, Kingston 6, Jamaica", monarchpharmacy@gmail
,Pharmacies,876-929-6366,Clock Tower Pharmacy & Gift  Centre,Shop 30 Clock Tower Plaza Kingston 10 Jamaica,
,Pharmacies,876-906-1882,Medi-Centre Pharmacy Ltd,Shop 2 50 Clock Tower Plaza Kingston 10 Jamaica,
,Pets,876-968-3991,Hobby Hut,Shop 3 The Springs Kingston 10 Jamaica,hobbyhut@yahoo.com
,Pets,876-908-4583,Hobby Hut,49 Constant Spring Rd Kingston 10 Jamaica,hobbyhut@yahoo.com
,Pets,876-765-2882,Born Free Pet Center,Shop 22 Boulevard Super Cen Kingston 20 Jamaica,Bornfreepetcenter@gmail.com
http://www.noahsarkja.com,Pets,876-927-6624,Pet Lifeboat The,72A Hope Rd Kingston 6 Jamaica,noahsark@cwjamaica.com
,Pets,876-969-5184,Super Pet & Garden Centre Ltd,128 Constant Spring Rd Kingston 8 Jamaica,
http://www.birdandpet.com,Pets,876-952-0281,Exotic Birds & Pets Ltd,"12 St James St Montego Bay, St James Jamaica",info@birdandpet.com
http://www.bulkbarndogfood.com,Pets,876-971-3129,Bulk Barn Dog Food,"21 Humber Ave Montego Bay, St James Jamaica",bulkbarn@hotmail.com
,Pets,876-969-8802,Stay Pawsitive,110A Constant Spring Rd Kingston 10 Jamaica,
,Pets,876-702-2490,Hobby Hut,151 Old Hope Rd Kingston 6 Jamaica,hobbyhut@yahoo.com
,Pets,876-927-7387,Next To Nature Pets and Plant Ltd,98 Old Hope Rd Kingston 7 Jamaica,nexttonaturepetsandplants@gmail.com
http://www.cornwallgardencenter.org,Pets,876-952-6481,Cornwall Garden Center Pets & More,"105 Barnett St Montego Bay, St James Jamaica",
,Pets,876-883-0797,Fabulous Pets,"21 King St,Linstead, St. Catherine, Jamaica",
http://www.coralcayjamaica.com,Hotels,876-975-4239,Coral Cay Resort Villas,Tower Isle Tower,sunfun@coralcayjamaica.com
,Hotels,876-974-5454,Miramar Villa,"Penthouse 1 Pineapple Pl Ocho Rios, St Ann Jamaica",miramarvillas@cwjamaica.com
,Hotels,876-974-2727,Pineapple Court Hotel,"Pineapple Place, Ocho Rios, St Ann, Jamaica",
,Hotels,876-972-0536,Miramar Villa,"Old Fort Bay St. Anns Bay, St Ann Jamaica",miramarvillas@cwjamaica.com
,Hotels,876-974-2508,Jamaica Association Of Villas & Apartments,"Shop 4 Ocean Village Shopping Centre, Ocho Rios, St Ann, Jamaica",
http://www.villaroyall.net,Hotels,876-953-9252,Villa Royall,"Lot 1075 South Berling Ave Rose Hall, St James Jamaica",villaroyall@hotmail.com
http://www.boguevilla.com,Hotels,876-971-3586,Bogue Villa,"21 Bogue Hill Rd Montego Bay, St James Jamaica",
http://www.donaldsonsinn.com,Hotels,876-957-3031,Donaldson's Inn,"Norman Manley Blvd Negril, Westmoreland Jamaica",
http://www.crystalwaters.net,Hotels,876-957-4284,Crystal Waters Villas,"Norman Manley Blvd Negril, Westmoreland Jamaica",
http://www.prospect-villas.com,Hotels,876-994-1373,Prospect Plantation Villas,"Prospect Ocho Rios, St Ann Jamaica",
http://www.spicyhillvillaja.com,Hotels,876-968-2934,Spicy Hill Villa,Dial,
,Hotels,876-965-3000,Jakes Hotel Villas & Spa,"Calabash Bay Treasure Beach, St Elizabeth Jamaica",
http://www.goldencoveresort.com,Hotels,876-968-3235,Golden Cove Resort,Call,goldencovevillas@gmail.com
,Hotels,876-952-2857,La Paz Villas,Lot 30 Maffi Dr Pimento Hill,
http://www.bythesealuxuryrentals.com,Hotels,876-993-5480,By The Sea Vacation Home And Villa,"Lot 6 Burlington Estates St Margarets Bay Port Antonio, Portland Jamaica",
http://www.jamaicavillas.net,Hotels,876-971-9119,Silent Waters,"River Rd Montego Bay, St James Jamaica",Silent_waters@cwjamaica.com
,Hotels,876-953-2770,Ken Wood Villa - One,"76 Dover Ave Rose Hall, St James Jamaica",kenwoodvillas@gmail.com
,Hotels,876-505-3394,Casa De La Vega Jamaica,Sligoville Rd St. Catherine Jamaica,
,Hotels,876-312-2369,Kreations Cozy Villa,"Richmond, The Palms, St Ann's Bay St Ann, St. Ann Jamaica",
http://www.seaviewvillajamaica.com,Hotels,876-807-7439,Sea View Heights Villa,"Barrette Town Rose Hall Montego Bay, St. James Jamaica",info@seaviewvillajamaica.com
,Plumbers,876-968-5445,Neil's Plumbing Service Ltd,6 Carter Ave Kingston 10 Jamaica,
,Plumbers,876-968-5445,Neil's Plumbing Service Ltd,6 Carter Ave Kingston 10 Jamaica,
http://www.lloydbaileyco.com,Plumbers,876-929-8200,Lloyd Bailey Co Ltd,2b Retirement Cres Kingston 5 Jamaica,lloydbaileyco@yahoo.com
,Plumbers,876-925-7232,Stephen's Plumbing Service & Cesspool Emptier Ltd,"35 Hughenden Ave Kingston, Jamaica",sps@cwjamaica.com
,Plumbers,876-755-4780,Hayles Plumbing & More,80 Constant Spring Rd Kingston 10 Jamaica,haylesplumbing@gmail.com
,Plumbers,876-969-6227,Mechanical Services Ltd,"Shop 125, Princeville Commercial Centre, Kingston 10, Jamaica",mechservs@cwjamaica.com
,Plumbers,876-377-0543,Reliable Plumbing Service,28 Red Hills Rd Kingston 8 Jamaica,
,Plumbers,876-969-6227,Mechanical Services Ltd,"Shop 125, Princeville Commercial Centre, Kingston 10, Jamaica",mechserv@cwjamaica.com
,Plumbers,876-754-7634,WAYMAH Ltd,1 Paraiso Ave Kingston 10 Jamaica,
,Plumbers,876-906-2351,Ontime Plumbing Sales & Services,Shop 12 55 Slipe Rd Kingston 5 Jamaica,
,Plumbers,876-923-9580,A Good Plumber,42 Wavell Ave Kingston 11 Jamaica,
,Plumbers,876-944-3471,Multi-Skill Plumbing Services Ltd,"Sterling Castle Sq Red Hills, Kingston Jamaica",multiskillsplumbing@gmail.com
,Plumbers,876-931-8590,Bent's Plumbing Service,3A McLaughlin Ave Kingston 8 Jamaica,
,Plumbers,876-928-4687,City Plumbing & Hardware Services Ltd,62E Windward Rd Kingston 2 Jamaica,
,Plumbers,876-973-7364,M & M Modern Sewer & Drain Service,"Main St Runaway Bay, St Ann Jamaica",m.msewer@cwjamaica.com
,Plumbers,876-952-3006,Walker's Plumbing Service,"22 McCatty St Montego Bay, St James Jamaica",walkerplumb@yahoo.com
,Plumbers,876-952-0001,Master Plumber Sales Service & Hardware Supplies,"4 McCatty St Montego Bay, St James Jamaica",masterPlumber_2011@yahoo.com
,Plumbers,876-952-4504,Hylton's Plumbing Welding & Solar Water Heater Ltd,"6 Princess St Montego Bay, St James Jamaica",hyltonplumbling@yahoo.com
,Plumbers,876-928-8890,A 1 Plumbing & Maintenance Service Ltd,"46 Tower St, Kingston, Jamaica",
,Plumbers,876-779-0215,Reliable Plumbing & Maintenance,122 Bay Farm Rd Kingston 11 Jamaica,
http://www.caribbeanheart.com,Doctors,876-906-2105,Heart Institute Of The Caribbean Ltd,23 Balmoral Ave Kingston 10 Jamaica,info@caribbeanheart.com
http://www.winchestermedicaljm.com,Doctors,876-929-8512,Winchester Surgical & Medical Institute,3A Winchester Rd Kingston 10 Jamaica,info@winchestersurgmed.com
,Doctors,876-906-4546,Hunter Roger Dr,3a Winchester Rd Kingston 10 Jamaica,rhunter96@yahoo.com
http://www.wallenford.com,Coffee,876-923-5850,Wallenford Coffee Co Ltd,80 Marcus Garvey Dr Kingston 11 Jamaica,admin@wallenford.com
,Doctors,876-929-5038,Daley Errol A Dr,23 Tangerine Pl Kingston 10 Jamaica,drerroldaley@gmail.com
,Doctors,876-929-5038,Gynae Associates,23 Tangerine Pl Kingston 10 Jamaica,gynaeassociates@gmail.com
http://www.countrytraders.com,Coffee,876-941-3759,Country Traders Ltd,Unit 3 69-75 Constant Spring Rd Kingston 10 Jamaica,mail@countrytraders.com
http://www.countrytraders.com,Coffee,876-941-3761,Coffee Roasters of Ja Ltd,Unit 3 69 Constant Spring Rd Kingston 10 Jamaica,mail@countrytraders.com
http://www.philshardware.com,Hardware,876-969-1750,Phil's Hardware Ltd,66 1/4 Constant Spring Rd Kingston 10 Jamaica,philshardware@cwjamaica.com
,Doctors,876-960-7905,Douglas Melton Dr,2A Molynes Rd Kingston 10 Jamaica,
,Doctors,876-960-7905,Apex Health Care Associates Ltd,Head Ofc 2A Molynes Rd Kingston 10 Jamaica,apexhealthcareassociates@gmail.com
http://www.islandbluecoffee.com,Coffee,876-963-4211,Jamaica Standard Products Co Ltd,Main Rd Williamsfield,admin@jspcoffee.com
http://www.jablumcoffee.com,Coffee,876-977-8005,Mavis Bank Coffee Factory Ltd,"Mavis Bank, Jamaica",
,Hardware,876-923-4560,New Budget Supplies,"195 Hagley Park Rd, Kingston 11, Jamaica",caphardware@hotmail.com
http://www.rapidtruevalue.com,Hardware,876-754-5811,Rapid True Value,26 Constant Spring Rd Kingston 10 Jamaica,rapidtruevalue@hardwareandlumberltd.com
http://www.theboneandeyeclinics.com,Doctors,876-978-8023,Bone & Eye Clinics The,94 1/2 Old Hope Rd Kingston 6 Jamaica,ohroclinic@hotmail.com
http://www.gorgeousflowersjamaica.com,Florists,876-920-3354,Gorgeous Flowers & Gift Items,Unit 50 85 Hagley Park Rd Kingston 10 Jamaica,ales@gorgeousflowersjamaica.com
http://www.jamaicanteas.com,Coffee,876-656-9491,Jamaican Teas Ltd,2 Bell Rd Kingston 11 Jamaica,info@jamaicanteas.com
http://www.jablumcoffee.com,Coffee,876-926-3503,Mavis Bank Coffee Factory Ltd,6A Oxford Rd Kingston 5 Jamaica,
http://www.homeandthingsja.com,Hardware,876-906-0419,Home & Things Ltd,17 Old Hope Rd Kingston 5 Jamaica,khalil@homeandthingsja.com
http://www.homeandthingsja.com,Hardware,876-969-8453,Home & Things Ltd,68 1/2-70 Constant Spring Rd Kingston 10 Jamaica,khalil@homeandthingsja.com
,Doctors,876-978-8023,Waite Philip D Dr,"The Bone & Eye Clinics, 94 1/2 Old Hope Rd Kingston 6 Jamaica",ohroclinic@hotmail.com
http://www.fosajm.com,Doctors,876-968-3130,Doonquah Ladi MD DDS,16 Hope Rd Kingston 10 Jamaica,info@fosajm.com
http://www.allwrappedupja.com,Florists,876-927-5875,All Wrapped Up,47A Old Hope Rd Kingston 5 Jamaica,customerservice@allwrappedupja.com
http://www.kreationsflowers.com,Florists,876-906-6271,Kreations Flowers Gifts & Things,"Shop 10A New Kingston Shopping Centre, Kingston 5, Jamaica",kreationsflowers@yahoo.com
,Coffee,876-941-3759,Country Traders Ltd,Unit 369 75 C Spring Rd Kingston 10 Jamaica,mail@countrytraders.com
http://www.topsjamaicanteas.com,Coffee,876-929-4431,Perishables Jamaica Ltd,2 Leonard Rd Kingston 10 Jamaica,info@topsjamaicanteas.com
http://www.llewatsoncoltd.com,Hardware,876-923-3065,Llewatson Co Ltd,"1D Cassia Park Rd, Kingston 10, Jamaica",llewatson.co.ltd@gmail.com
http://www.rapidtruevalue.com,Hardware,876-929-4978,Rapid True Value,71 Slipe Rd Kingston 5 Jamaica,rapidtruevalue@hardwareandlumberltd.com
http://www.fosajm.com,Doctors,876-968-3130,FOSA Surgical Associates,16 Hope Rd Kingston 10 Jamaica,
,Doctors,876-906-2106,Heart Institute of the Caribbean Foundation,23 Balmoral Ave Kingston 10 Jamaica,foundation@caribbeanheart.com
,Florists,876-926-3570,Pat's Flower Shop Ltd,28 Old Hope Rd Kingston 5 Jamaica,
,Florists,876-978-4575,New Green House The,10 Easton Av Kingston 5 Jamaica,cutflowers-galore@gmail.com
http://www.coffeesolute.com,Coffee,876-968-1729,Coffee Solutions,Unit 1K 5 Central Rd Kingston 10 Jamaica,info@coffeesolute.com
,Coffee,876-455-0686,Trevhamco Nutraceuticals,"Lot 1 Strathmore Gardens Spanish Town, St Catherine Jamaica",
http://www.rapidtruevalue.com,Hardware,876-978-2879,Rapid True Value,"Shop 2 Sovereign Centre, Kingston 6, Jamaica",rapidtruevalue@hardwareandlumberltd.com
http://www.arcja.com,Hardware,876-923-1426,ARC Manufacturing Ltd,14 Bell Rd Kingston 11 Jamaica,sales@arcja.com
http://www.malcolmgordonlaw.com,Attorneys,876-978-5386,Malcolm Gordon Attorneys-At-Law,22 Trafalgar Rd Kingston 5 Jamaica,info@malcolmgordon.com
,Doctors,876-929-5047,Parkington Paediatrics,26 Parkington Plaza Kingston 10 Jamaica,parkingtonpaediatric@hotmail.com
,Doctors,876-754-5778,Dallas Judith Dr,Shop 14 Winchester Business Cen Kingston 10 Jamaica,judithadallas@gmail.com
http://www.flowersvillage.com,Florists,876-926-4276,Flowers Village & Gifts,"Shop 11A New Kingston Business Centre, Kingston 5, Jamaica",flowersvillageenfo@yahoo.com
,Florists,876-925-4531,Rhona's Flowers & Gifts,121 1/2 C Spring Rd Kingston 8 Jamaica,rhonasflowersja@gmail.com
,Coffee,876-944-8894,Island Coffees,"Bracken Strawberry Hill Irish Town, Kingston Jamaica",
,Hardware,876-937-7823,Electroloc Hdw & Glass (DIV),11 Cassia Pk Rd Kingston 10 Jamaica,electrolochardware@hotmail.com
http://www.atlantichardware.com,Hardware,876-758-0266,Atlantic Hardware & Plumbing Co Ltd,7A Ashenheim Rd Kingston 11 Jamaica,atlantichdw@cwjamaica.com
http://www.shelards.com,Attorneys,876-946-9881,Edwards M Martina,Suite 16 1 Stanton Terr Kingston 6 Jamaica,law@shelards.com
http://www.shelards.com,Attorneys,876-946-9881,Shelards Attorneys-At-Law,Suite 16 1 Stanton Terr Kingston 6 Jamaica,law@shelards.com
,Doctors,876-754-5778,Gynae Practice,Shop 14 Winchester Business Cen Kingston 10 Jamaica,judithdallas@hotmail.com
,Doctors, 876-926-1444,Hunter Roger Dr,"22H Old Hope Rd, Kingston 5, Jamaica",rhunter96@yahoo.com
http://www.greenthumbjamaica.com,Florists,876-925-0988,Greenthumb Floral & Gifts,37 Shortwood Road Kingston 8 Jamaica,greenthumbfloralgifts@gmail.com
,Florists,876-908-3538,That Blooming Florist,20 West Kings Hse Rd Kingston 10 Jamaica,SoniaLebert21@GMAIL.COM
http://www.rapidtruevalue.com,Hardware,876-939-4378,Rapid True Value,"Lot 2 Port Henderson Rd, Portmore, St Catherine, Jamaica",rapidtruevalue@hardwareandlumberltd.com
http://www.rapidtruevalue.com,Hardware,876-925-8652,Rapid True Value,"Manor Park Plaza, Kingston 8. Jamaica",rapidtruevalue@hardwareandlumberltd.com
http://www.shellards.com,Attorneys,876-946-9881,Shelton Sean D,Suite 16 1 Stanton Terr Kingston 6 Jamaica,law@shellards.com
,Attorneys,755-4594,FloJam Legal Attorneys-At-Law,Suite 10 30 Dunrobin Ave Kingston 10 Jamaica,flojamlegal@outlook.com
http://www.cardiologyjamaica.com/,Doctors,876-908-2658,Emery Handel Dr,3A Winchester Rd Kingston 10 Jamaica,pinnaclehealthcare@hotmail.com
,Doctors,876-908-2658,Pinnacle Healthcare Ltd,3A Winchester Rd Kingston 10 Jamaica,
,Florists,876-929-7619,All Seasons Baskets & Variety Store,6 Central Rd Kingston 10 Jamaica,statsolmore@yahoo.com
,Florists,876-982-1557,Pearl's Flowers & Gifts,"3 South Ave Morant Bay, St Thomas Jamaica",
http://www.rapidtruevalue.com,Hardware,876-765-9967,Rapid True Value,"697 Spanish Town Rd, Kingston 11, Jamaica",rapidtruevalue@hardwareandlumberltd.com
,Hardware,876-923-8721,Handy Hardware Supplies Ltd,Shop 13 Molynes Plaza Kingston 10 Jamaica,handyhardware@cwjamaica.com
http://www.njcolaw.com,Attorneys,876-908-0589,Jones Nigel & Co,Suite 11 Winchester Business Centre Kingston 10 Jamaica,nigeljones@cwjamaica.com
http://www.jamaicacollections.com.jm,Attorneys,876-908-4830,Jamaica Collection & Recovery Services Ltd,56 Montgomery Ave Kingston 10 Jamaica,info@jamaicacollections.com
http://www.cardiologyjamaica.com,Doctors,876-908-2658,Thompson Tamara Dr,3A Winchester Rd Kingston 10 Jamaica,pinnaclehealthcare@hotmail.com
,Doctors,876-929-5047,White Heather Dr,26 Parkington Plaza Kingston 10 Jamaica,parkingtonpaediatric@hotmail.com
,Florists,876-925-4484,Every Blooming Thing,80 Constant Spring Rd Kingston 10 Jamaica,everybloomingthing@cwjamaica.com
http://www.bestbuds.com,Florists,876-946-1400,Best Buds,6 1/2 Lady Musgrave Rd Kingston 5 Jamaica,bestbuds876@gmail.com
http://www.camcorpindustrial.com,Hardware,876-923-0115,Camcorp Industrial Ltd,218 Marcus Garvey Drive Kingston 11 Jamaica,info@camcorpindustrial.com
,Hardware,876-984-3747,Phil's Hardware Ltd,"Twickenham Park, Spanish Town, St Catherine, Jamaica",philsproforma@cwjamaica.com
,Attorneys,876-908-0373,Bernard & Co Attorneys At Law,22g Old Hope Rd Kingston 5 Jamaica,philipbernardlaw@gmail.com
http://www.nsdco.com,Attorneys,876-960-8995,Nunes Scholefield DeLeon & Co,6A Holborn Rd Kingston 10 Jamaica,mailus@nsdco.com
,Florists,876-754-9486,Best Expressions,20 Westminster Rd Kingston 10 Jamaica,moyansgifts@gmail.com
,Florists,876-925-4531,Rhona's Flowers & Gifts,121 1/2 Constant Spring Rd Kingston 8 Jamaica,rhonasflowersja@gmail.com
,Hardware,876-969-3382,Lloyd's Sales Hardware,98 Red Hills Rd Kingston 19 Jamaica,
,Hardware,876-969-3382,Melloy Distributors Ltd,98 Red Hills Rd Kingston 19 Jamaica,
,Attorneys,876-754-3038,Lovelace & Crawford Attorneys-At-Law,78 Slipe Rd Kingston 5 Jamaica,lovelacecrawfordlaw@gmail.com
,Attorneys,876-929-7970,Oraine Nelson & Co. Attorneys-at-Law,"The Business Centre, 78 Slipe Road Kingston 5, Kingston Jamaica",oraine.nelson@yahoo.com
,Florists,876-956-3356,1Nique Flower Shop & Party Supplies,"Mid Town Mall Lucea, Hanover Jamaica",
,Florists,876-908-2892,Plant Life,67 Constant Spring Rd Kingston 10 Jamaica,
,Hardware,876-957-9536,Smart Choice Hardware,"12 Whitehall Ave Negril, Westmoreland Jamaica",smartchoicenegril@yahoo.com
http://www.barnabyengineering.com,Attorneys,876-920-2631,Barnaby Barbara A,27 Queens Ave Kingston 10 Jamaica,tonette59@hotmail.com
,Attorneys,876-524-2192,"Cedric Brown, Attorney-at-Law","34 Annette Crescent Kingston 10, Kingston Jamaica",
,Florists,876-926-5249,Flower Hut Ltd,6 Haining Rd Kingston 5 Jamaica,
,Florists,876-968-5108,Flor B'loons,18 Regal Plaza Kingston 5 Jamaica,
,Attorneys,876-632-9997,"Taylor Law, Attorneys-at-law","Unit 16, 80 Lady Musgrave Rd Kingston 10, Kingston Jamaica",
,Attorneys,876-967-1407,Heywood-Blake Attorneys-At-Law,"38 East St, Kingston, Jamaica",heywoodblake@gmail.com
,Florists,876-905-3806,Gifts Flowers & Plants,69 - 71 Red Hills Rd Kingston 8 Jamaica,giftsflowers_plants@hotmail.com
http://www.earleandwilson.com,Attorneys,876-946-0000,Earle & Wilson,3 Ardenne Rd Kingston 10 Jamaica,law@earlewilson.com
,Attorneys,876-754-2175,Ramson Lorraine L,Chambers 12A 2nd Floor 3 Cargill Ave Kingston 10 Jamaica,lorraine.lramson@yahoo.com
http://www.rattraypatterson.com,Attorneys,876-929-6680,Rattray Patterson Rattray,13 Dominica Dr Kingston 5 Jamaica,rattray@rattraypatterson.com
http://www.jbmlawja.com,Attorneys,876-967-2591,Law Offices of J Buchanan-McLean,"130-132 East St, Kingston, Jamaica",jbmlaw@yahoo.com
http://www.essencemoroedouglas.com,Attorneys,876-754-4334,Essence Monroe Douglas,5 Tangerine Place Kingston 10 Jamaica,douglas.essence@yahoo.com
http://www.lamaisonproperty.com,Project-Management-Design,876-906-0856,La Maison Property Services Ltd,Suite 42A 30 Dominica Dr Kingston 5 Jamaica,info@lamaisonproperty.com
